PREFIX,VARIETY,AVARIETY,BAY,CART,CAN
L,2012-227,L12-227,5,C,11
L,2012-227,L12-227,5,A,15
L,2012-227,L12-227,1,A,4
L,2012-218,L12-218,4,C,1
L,2012-218,L12-218,3,C,9
L,2012-218,L12-218,3,B,16
L,2012-202,L12-202,6,A,1
L,2012-202,L12-202,4,C,18
L,2012-202,L12-202,3,A,7
L,2012-202,L12-202,1,B,11
L,2012-201,L12-201,6,B,2
L,2012-201,L12-201,4,C,7
L,2012-201,L12-201,2,B,12
L,2012-201,L12-201,2,A,13
L,2012-201,L12-201,1,C,15
L,2011-187,L11-187,6,B,6
L,2011-187,L11-187,5,B,5
L,2011-187,L11-187,4,B,7
L,2011-187,L11-187,2,A,4
L,2011-187,L11-187,1,B,9
L,2011-183,L11-183,6,B,3
L,2011-183,L11-183,6,A,13
L,2011-183,L11-183,5,C,15
L,2011-183,L11-183,4,A,8
L,2011-183,L11-183,3,A,14
L,2011-183,L11-183,2,B,18
L,2011-183,L11-183,1,B,13
L,2010-147,L10-147,6,A,7
L,2010-147,L10-147,5,C,12
L,2010-147,L10-147,1,A,3
L,2010-146,L10-146,5,A,3
L,2010-146,L10-146,3,C,8
L,2010-146,L10-146,2,B,15
L,2009-131,L09-131,6,A,11
L,2009-131,L09-131,5,B,16
L,2009-131,L09-131,4,C,10
L,2009-123,L09-123,6,B,8
L,2009-123,L09-123,4,B,13
L,2009-123,L09-123,3,A,9
L,2009-123,L09-123,2,A,11
L,2009-123,L09-123,1,C,11
L,2009-112,L09-112,4,A,2
L,2009-112,L09-112,3,A,16
L,2009-112,L09-112,2,A,9
L,2009-112,L09-112,1,C,12
L,2009-099,L09-099,6,C,15
L,2009-099,L09-099,4,C,6
L,2009-099,L09-099,3,B,13
L,2009-099,L09-099,3,A,2
L,2009-099,L09-099,2,A,5
L,2009-099,L09-099,1,C,1
L,2008-090,L08-090,6,C,18
L,2008-090,L08-090,5,B,18
L,2008-090,L08-090,4,B,17
L,2008-090,L08-090,3,C,2
L,2008-090,L08-090,2,C,17
L,2008-090,L08-090,1,B,2
L,2008-088,L08-088,6,A,3
L,2008-088,L08-088,5,C,1
L,2008-088,L08-088,5,A,10
L,2007-057,L07-057,4,A,17
L,2007-057,L07-057,3,A,13
L,2007-057,L07-057,2,A,6
L,2007-057,L07-057,1,A,12
L,2006-040,L06-040,2,A,14
L,2006-040,L06-040,1,C,3
L,2006-038,L06-038,4,C,11
L,2006-038,L06-038,4,A,10
L,2006-001,L06-001,5,A,11
L,2006-001,L06-001,4,B,15
L,2006-001,L06-001,3,C,1
L,2006-001,L06-001,2,A,10
L,2006-001,L06-001,1,C,7
L,2006-001,L06-001,1,A,6
L,2005-457,L05-457,5,C,3
L,2005-457,L05-457,4,A,3
L,2005-457,L05-457,3,C,3
L,2005-457,L05-457,2,B,7
L,2005-457,L05-457,1,B,3
L,2005-448,L05-448,4,C,16
L,2005-448,L05-448,3,B,15
L,2005-448,L05-448,2,B,6
L,2005-448,L05-448,1,A,18
L,2003-371,L03-371,6,B,10
L,2003-371,L03-371,6,A,2
L,2003-371,L03-371,1,A,13
L,2001-315,L01-315,3,B,10
L,2001-315,L01-315,3,A,17
L,2001-299,L01-299,6,A,15
L,2001-299,L01-299,5,B,11
L,2001-299,L01-299,4,A,15
L,2001-299,L01-299,3,A,10
L,2001-299,L01-299,2,B,1
L,2001-299,L01-299,1,A,11
L,2001-283,L01-283,6,A,14
L,2001-283,L01-283,5,A,12
L,2001-283,L01-283,4,B,5
L,2001-283,L01-283,2,C,12
HOL,2015-508,HOL15-508,3,B,4
HOCP,1997-609,HOCP97-609,6,C,12
HOCP,1997-609,HOCP97-609,4,C,8
HOCP,1997-609,HOCP97-609,2,A,16
HOCP,1996-561,HOCP96-561,6,A,9
HOCP,1996-561,HOCP96-561,5,A,5
HOCP,1996-561,HOCP96-561,4,A,11
HOCP,1996-561,HOCP96-561,1,C,17
HOCP,1996-540,HOCP96-540,5,B,13
HOCP,1996-540,HOCP96-540,3,C,12
HOCP,1996-540,HOCP96-540,3,B,12
HOCP,1996-540,HOCP96-540,2,C,14
HOCP,1996-540,HOCP96-540,1,C,18
HOCP,1996-540,HOCP96-540,1,A,7
HOCP,1995-951,HOCP95-951,5,C,7
HOCP,1995-951,HOCP95-951,3,C,4
HOCP,1992-624,HOCP92-624,6,B,17
HOCP,1992-624,HOCP92-624,5,C,17
HOCP,1992-624,HOCP92-624,5,A,9
HOCP,1992-624,HOCP92-624,3,B,1
HOCP,1992-624,HOCP92-624,1,B,10
HOCP,1992-618,HOCP92-618,5,B,15
HOCP,1992-618,HOCP92-618,4,C,5
HOCP,1992-618,HOCP92-618,2,C,7
HOCP,1991-552,HOCP91-552,5,A,17
HOCP,1991-552,HOCP91-552,4,C,17
HOCP,1991-552,HOCP91-552,3,A,3
HOCP,1991-552,HOCP91-552,1,B,8
HOCP,1985-845,HOCP85-845,6,C,4
HOCP,1985-845,HOCP85-845,5,B,3
HOCP,2018-846,HOCP18-846,6,C,5
HOCP,2018-829,HOCP18-829,6,A,5
HOCP,2018-815,HOCP18-815,5,C,16
HOCP,2018-803,HOCP18-803,6,C,10
HOCP,2018-801,HOCP18-801,2,A,7
HOCP,2018-801,HOCP18-801,1,B,5
HOCP,2017-702,HOCP17-702,6,B,15
HOCP,2017-701,HOCP17-701,5,B,6
HOCP,2014-885,HOCP14-885,6,A,4
HOCP,2014-885,HOCP14-885,5,A,1
HOCP,2014-885,HOCP14-885,3,C,15
HOCP,2014-885,HOCP14-885,3,A,6
HOCP,2014-885,HOCP14-885,2,A,8
HOCP,2014-885,HOCP14-885,1,B,4
HOCP,2014-802,HOCP14-802,4,A,7
HOCP,2014-802,HOCP14-802,3,B,6
HOCP,2014-802,HOCP14-802,2,A,3
HOCP,2009-814,HOCP09-814,6,C,7
HOCP,2009-814,HOCP09-814,6,B,1
HOCP,2009-804,HOCP09-804,4,A,1
HOCP,2009-804,HOCP09-804,3,C,11
HOCP,2009-804,HOCP09-804,2,C,2
HOCP,2009-804,HOCP09-804,2,B,8
HOCP,2009-804,HOCP09-804,1,A,17
HOCP,2004-847,HOCP04-847,4,C,14
HOCP,2004-847,HOCP04-847,4,A,13
HOCP,2004-847,HOCP04-847,2,C,8
HOCP,2004-847,HOCP04-847,1,A,14
HOCP,2004-838,HOCP04-838,5,B,10
HOCP,2004-838,HOCP04-838,5,A,7
HOCP,2004-838,HOCP04-838,2,A,17
HOCP,2002-618,HOCP02-618,4,A,9
HOCP,2002-618,HOCP02-618,3,A,4
HOCP,2001-523,HOCP01-523,5,A,18
HOCP,2001-523,HOCP01-523,4,A,18
HOCP,2001-517,HOCP01-517,6,B,11
HOCP,2000-950,HOCP00-950,6,B,16
HOCP,2000-950,HOCP00-950,5,C,2
HOCP,2000-950,HOCP00-950,4,A,16
HOCP,2000-950,HOCP00-950,2,B,10
HOCP,2000-950,HOCP00-950,1,C,9
HOCP,2000-950,HOCP00-950,1,B,18
HO,2009-9401,HO9-9401,5,B,9
HO,2009-9401,HO9-9401,3,C,5
HO,1995-988,HO95-988,6,B,13
HO,2018-878,HO18-878,5,C,8
HO,2017-776,HO17-776,6,B,14
HO,2017-776,HO17-776,5,C,10
HO,2017-776,HO17-776,4,A,5
HO,2017-776,HO17-776,2,B,5
HO,2017-738,HO17-738,5,C,18
HO,2017-738,HO17-738,1,B,7
HO,2016-608,HO16-608,3,C,14
HO,2016-600,HO16-600,5,C,14
HO,2016-600,HO16-600,4,C,4
HO,2015-971,HO15-971,4,A,12
HO,2013-739,HO13-739,6,C,9
HO,2013-739,HO13-739,6,B,4
HO,2013-739,HO13-739,4,C,12
HO,2013-739,HO13-739,3,B,18
HO,2013-705,HO13-705,1,B,6
HO,2012-615,HO12-615,3,A,5
HO,2012-615,HO12-615,2,C,6
HO,2012-615,HO12-615,2,B,16
HO,2012-615,HO12-615,1,A,5
HO,2011-573,HO11-573,5,A,16
HO,2011-573,HO11-573,3,C,13
HO,2011-532,HO11-532,3,C,10
HO,2011-532,HO11-532,2,C,4
HO,2011-532,HO11-532,2,B,14
HO,2011-532,HO11-532,1,C,5
HO,2011-532,HO11-532,1,A,15
HO,2009-9401,HO09-9401,6,C,16
HO,2009-9401,HO09-9401,1,C,2
HO,2009-840,HO09-840,4,B,8
HO,2009-840,HO09-840,3,A,15
HO,2009-840,HO09-840,2,A,2
HO,2009-840,HO09-840,1,A,8
HO,2009-832,HO09-832,2,B,3
HO,2009-827,HO09-827,6,A,18
HO,2009-827,HO09-827,5,B,2
HO,2009-827,HO09-827,4,C,2
HO,2009-827,HO09-827,1,B,16
HO,2008-730,HO08-730,6,A,17
HO,2008-730,HO08-730,5,B,7
HO,2008-730,HO08-730,3,A,8
HO,2008-730,HO08-730,1,C,13
HO,2008-717,HO08-717,6,B,5
HO,2008-717,HO08-717,3,B,9
HO,2008-717,HO08-717,2,B,17
HO,2007-613,HO07-613,5,B,8
HO,2007-613,HO07-613,4,B,1
HO,2006-563,HO06-563,4,B,6
HO,2006-563,HO06-563,3,B,3
CP,1983-0644,CP83-0644,3,A,1
CP,1983-0644,CP83-0644,4,C,3
CP,2001-1372,CP01-1372,2,A,15
